model,accuracy,precision,recall,f1
Text Only,0.96,0.9932885906040269,0.9308176100628931,0.961038961038961
Early Fusion,0.9433333333333334,0.9930555555555556,0.89937106918239,0.9438943894389439
Attention Fusion,0.9433333333333334,0.9034090909090909,1.0,0.9492537313432836
